layer,random_index,split,r2,pearson_r,mse
8,3,test,0.004483463389046705,0.09294331373217887,1.055553892370712
8,4,test,0.0033538096247044402,0.1463621099063679,1.0567516730043136
8,5,test,0.016036419061641993,0.24344085878528776,1.043304204012838
8,6,test,0.0011612596550373278,0.089260209485996,1.0590764507147656
8,7,test,-0.00033157432223429595,0.04741445096978603,1.0606593141403562
8,8,test,-0.0013211545361595523,-0.019237212162675165,1.0617085737038165
8,9,test,-0.0014732791023122083,-0.01145909142451928,1.0618698725592575
8,10,test,-0.0006362089832085971,0.04724704249539387,1.0609823206302706
8,11,test,-0.000800557720644024,0.03517319570016715,1.0611565808691783
8,12,test,-0.0013062970182768918,-0.05034580895447751,1.061692820162559
8,13,test,-0.0013878345741644704,-0.00026256317371223616,1.061779275064438
8,14,test,-0.0009778721733537665,0.028538233491608878,1.0613445887563888
8,15,test,-0.0012748907364961148,0.027267654988789004,1.0616595198387981
8,16,test,-2.2427286030746174e-05,0.058573441666018515,1.0603315231440456
8,17,test,-0.0007091198174358215,0.03812043978988309,1.0610596285523737
8,18,test,-0.000981547002302241,0.04620689002157512,1.0613484852059782
8,19,test,0.0013871874208214452,0.11226323937481104,1.058836897755274
8,20,test,-0.0012558724205893324,0.03432083599845741,1.0616393545711773
8,21,test,-3.783793210532238e-06,0.03816067364568355,1.0603117553042458
8,22,test,0.0013802187631543061,0.1084963830378017,1.058844286676959
8,23,test,0.00013719176154669555,0.062403209330539125,1.060162277831918
8,24,test,-0.0012975962735142232,-0.010126184281065032,1.0616835946955145
8,25,test,-0.0006007866492088176,0.04752146494236489,1.0609447620552444
8,26,test,-0.0007338203313971281,0.019704297826286885,1.0610858186985908
8,27,test,-0.0010862420034096765,0.012980562331248911,1.061459494126339
8,28,test,0.003322923852108084,0.08972223590347903,1.056784421428156
8,29,test,-0.001027756260409074,0.011048776193722916,1.0613974812401619
8,30,test,0.0006256262329702444,0.07618288087796775,1.0596443869797636
8,31,test,-0.0014170474588601767,-0.011730517177729046,1.0618102497122854
8,32,test,-0.0010493459275271455,0.05781463388597528,1.061420372931383
8,33,test,-0.0011363928855960825,0.025241058564959364,1.0615126694950556
8,34,test,-0.001276244494047507,0.005026454311897053,1.0616609552384124
8,35,test,-0.0011557831832877952,0.024285988965352254,1.0615332291778437
8,36,test,-0.0011553815450711102,0.006869919220587776,1.0615328033177325
8,37,test,-0.0006993829429160492,0.028018126482673614,1.0610493044689246
8,38,test,-0.001387102609166524,0.008240417828576579,1.0617784989562828
8,39,test,-0.0013013996498123515,-0.017714586581908918,1.0616876274448543
8,40,test,-0.0015404580513198596,-0.020640550155588345,1.0619411029190782
8,41,test,0.0020381953459426283,0.09058599961189631,1.0581466290113057
8,42,test,-0.0005991509521683369,0.047343250955327945,1.0609430277130067
8,43,test,0.0002309398860305123,0.05193358297844459,1.0600628759696062
8,44,test,0.001874500292164405,0.08156972240613163,1.05832019614437
8,45,test,-0.001240752357964725,0.025355681879556276,1.061623322651697
8,46,test,-0.0011715747933775944,0.016496694575978913,1.0615499731443012
8,47,test,-0.001217765240367541,0.01019303301015687,1.061598949232912
8,48,test,0.0008116667137747502,0.0676831223600811,1.059447126817396
8,49,test,0.007226893913563126,0.18397541209617166,1.0526450117423096
8,50,test,-0.0014222854641992022,0.005251352605246206,1.0618158036099061
8,51,test,-0.0016115041521806983,-0.02509766972188124,1.0620164336499536
8,52,test,-0.0004944168916931613,0.06887426376680611,1.0608319773776955
8,53,test,-0.0012225888103249982,0.01317143415291978,1.0616040637014883
8,54,test,0.0008965169834962428,0.06399574077439277,1.0593571594193876
8,55,test,-0.0003441498651868269,0.04368680645846989,1.0606726480859254
8,56,test,-0.0004310755006393663,0.036489315067405104,1.0607648160102885
8,57,test,0.0014611277370129017,0.10079795662298019,1.0587584982654725
8,58,test,0.003982621899174643,0.10541041612610241,1.0560849384805988
8,59,test,0.00045959574498244393,0.06528760617183225,1.0598204303918042
8,60,test,-0.0002093090458239466,0.04030981022238272,1.0605296753210394
8,61,test,-0.001632951680879513,-0.017612554291421247,1.062039174630708
8,62,test,-0.0009756261899742658,0.0420017470928949,1.06134220732282
8,63,test,-0.0009696429515224647,0.03197095724291444,1.0613358632487595
8,64,test,-0.0012194458704328781,0.006381846865766855,1.061600731217984
8,65,test,-0.0006522600449998528,0.03577485652201899,1.0609993396953765
8,66,test,-0.0008807406088988667,0.018077463425347447,1.0612415994064766
8,67,test,-0.000846209574038026,0.04350391596177886,1.0612049858828287
8,68,test,1.1620316407556786e-05,0.09180482577370032,1.060295422207539
