target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2
action_history,20,validation,0.15996221241112663,0.40565874804181123,0.8171271336609828,1.0,0.1346471145492614
action_history,20,test,0.17823938201756473,0.45146113929680004,0.96112064910594,1.0,0.1857190811379533
action_history,20,transfer,0.10392808283148136,0.3763975016384171,1.556825392533949,1.0,0.10392808283148121
action_history,21,validation,0.15745781662546654,0.40252651411614926,0.8195632261560154,1.0,0.12800517003685485
action_history,21,test,0.17523544970321048,0.448325126417685,0.9646340097034957,1.0,0.18375151275135812
action_history,21,transfer,0.09836300646777596,0.34271184371394553,1.5664940943740688,1.0,0.098363006467776
action_history,22,validation,0.13397900107055016,0.3747139723189158,0.8424016954958414,1.0,0.10681055223648517
action_history,22,test,0.14470477542922067,0.4172873473146618,1.0003422936413446,1.0,0.15138115156317142
action_history,22,transfer,0.09703885793916966,0.3426993430645383,1.568794655314908,1.0,0.09703885793916973
action_history,23,validation,0.17615809541579386,0.42578679906529027,0.8013729668220152,1.0,0.14321514916087213
action_history,23,test,0.1874165455515281,0.45515415266868847,0.9503871566755413,1.0,0.1953522849051031
action_history,23,transfer,0.1165696948709507,0.3761189716795028,1.534861996238931,1.0,0.11656969487095066
action_history,24,validation,0.16118269688115006,0.4073066852010323,0.8159399359046409,1.0,0.13227388797833456
action_history,24,test,0.1731900402460551,0.43979480963531636,0.9670262942960272,1.0,0.18007754322666517
action_history,24,transfer,0.10696096713458281,0.36325568681734,1.551556093044455,1.0,0.10696096713458281
action_history,25,validation,0.17710989239715014,0.4268691185556595,0.8004471285434359,1.0,0.14641812278080202
action_history,25,test,0.18876023017170185,0.4578079583212044,0.9488156004265866,1.0,0.195351534355604
action_history,25,transfer,0.12429048796033704,0.3898446637707353,1.521447976112021,1.0,0.12429048796033697
action_history,26,validation,0.164270030073713,0.41297513172330713,0.812936804665109,1.0,0.13899595056450706
action_history,26,test,0.17889164350351505,0.4566717851483852,0.9603577724615194,1.0,0.17952644211998622
action_history,26,transfer,0.16814897768239034,0.44468650207156807,1.445248723385478,1.0,0.16814897768239045
action_history,27,validation,0.33959541213610556,0.5862738016690988,0.6423931350596477,1.0,0.29815100157773533
action_history,27,test,0.363666127355713,0.6222569575177431,0.7442479127626509,1.0,0.36962919007899
