architecture,task_family,parameter,estimate_mean,interval_low,interval_high,probability_positive
dual_history,information_sampling,history_outcome_1__available,-0.04637861238283833,-0.05007601133540752,-0.042898063494741276,0.0
dual_history,information_sampling,history_outcome_kernel,0.02644236264582059,-0.007282060895681125,0.058150248530434115,0.95
dual_history,information_sampling,history_outcome_kernel__available,-0.046378612382839225,-0.050076011335398,-0.042898063494738445,0.0
dual_history,information_sampling,intercept,-0.46252226250820394,-0.48012745661890427,-0.4428894263525763,0.0
dual_history,information_sampling,response_mapping,-0.12268474286612119,-0.1291663504010841,-0.1164765265065986,0.0
dual_history,information_sampling,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_continuation_cost,-0.14121571497217866,-0.16773029735095643,-0.11377590438597539,0.0
dual_history,solvability,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_continuation_value,0.33282873285686726,0.30099416904619297,0.36148084814664894,1.0
dual_history,solvability,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_controllability,0.07896087263806228,0.05836096068463181,0.09817036992314879,1.0
dual_history,solvability,factor_controllability__available,0.5163900468604871,0.5038022773981851,0.5312005602455608,1.0
dual_history,solvability,factor_disengagement_value,-0.4339942784887358,-0.4666994348258024,-0.3968360491660688,0.0
dual_history,solvability,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_environmental_stability,0.19332369612327543,0.16913339317747628,0.21688236820633497,1.0
dual_history,solvability,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_goal_continuity,0.09785802688848122,0.06630176227773542,0.12662835623504015,1.0
dual_history,solvability,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_prior_investment,-0.14908638228949156,-0.17702963065248115,-0.12546975336628635,0.0
dual_history,solvability,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_progress_evidence,0.43944294331300177,0.41437071556243604,0.46472256516395627,1.0
dual_history,solvability,factor_progress_evidence__available,-0.12126606148640842,-0.12950445706627667,-0.11265213741268015,0.0
dual_history,solvability,factor_success_evidence,0.7475476671849041,0.7154008041542176,0.7750310494084004,1.0
dual_history,solvability,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,solvability,factor_uncertainty,0.045039061685580785,0.016664791924771896,0.0779056185180848,1.0
dual_history,solvability,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,solvability,history_action_1,0.12345115634592206,0.07785458859582994,0.16791678580371405,1.0
dual_history,solvability,history_action_1__available,-0.03988044169642427,-0.04668639257667249,-0.031077955931569277,0.0
dual_history,solvability,history_action_kernel,-0.18792757507308008,-0.22834125965962393,-0.14110254672163455,0.0
dual_history,solvability,history_action_kernel__available,-0.03988044169641838,-0.04668639257663268,-0.031077955931610248,0.0
dual_history,solvability,history_outcome_1,0.09953645877831402,0.04906707454446974,0.15320349643818731,1.0
dual_history,solvability,history_outcome_1__available,-0.03988044169641852,-0.046686392576631784,-0.031077955931609558,0.0
dual_history,solvability,history_outcome_kernel,0.40869862936395085,0.34650056925833117,0.4661438872301677,1.0
dual_history,solvability,history_outcome_kernel__available,-0.03988044169641949,-0.04668639257664321,-0.03107795593159438,0.0
dual_history,solvability,intercept,-0.07984940218369022,-0.10086657260308206,-0.059235300624751124,0.0
dual_history,solvability,response_mapping,0.03435142870990098,0.02262331690880686,0.04426865269590875,1.0
dual_history,solvability,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,waiting,factor_continuation_cost,-0.04055371499933653,-0.060025305768199984,-0.019360767171316247,0.0
dual_history,waiting,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,waiting,factor_continuation_value,0.1688071500012888,0.14941045645252227,0.1843895406296438,1.0
dual_history,waiting,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,waiting,factor_controllability,0.06656725386507645,0.05564136824130981,0.07683025936533808,1.0
dual_history,waiting,factor_controllability__available,0.4653038655021699,0.4581888985738361,0.4733220689353785,1.0
dual_history,waiting,factor_disengagement_value,-0.6525435741026955,-0.6723118021202621,-0.6353953840498374,0.0
dual_history,waiting,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,waiting,factor_environmental_stability,0.006102082696306229,-0.010136893719155982,0.023519288068817513,0.76
dual_history,waiting,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,waiting,factor_goal_continuity,0.017384155788685848,0.003981892936153495,0.03464288638873821,0.98
dual_history,waiting,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,waiting,factor_prior_investment,-0.14722085757812287,-0.16185450052958658,-0.13464321606185367,0.0
dual_history,waiting,factor_prior_investment__available,0.0,0.0,0.0,0.0
